instance,group,n_runs,p,hybrid_best,hybrid_mean,hybrid_std,hybrid_cv_pct,time_mean_s,bks,freitas_best,freitas_mean,gap_best_vs_bks_pct,gap_mean_vs_bks_pct,gap_best_vs_freitas_pct,gap_mean_vs_freitas_pct
lin318_5,lin318,10,5,180281.2051,180281.2051,0.0000,0.0000,14.42,180281.2000,180343.0000,181154.0000,+0.0000,+0.0000,-0.0343,-0.4818
lin318_15,lin318,10,15,88901.5631,88901.5631,0.0000,0.0000,39.77,88901.5600,89041.5900,89205.5900,+0.0000,+0.0000,-0.1573,-0.3408
lin318_40,lin318,10,40,47996.2137,48183.2424,143.0154,0.2968,88.00,47982.7500,48091.3200,48129.9300,+0.0281,+0.4178,-0.1978,+0.1108
lin318_70,lin318,10,70,32312.4488,32429.3569,122.7185,0.3784,277.07,32198.6400,32293.7500,32405.4900,+0.3535,+0.7165,+0.0579,+0.0737
lin318_100,lin318,10,100,22969.5441,23113.4025,92.4359,0.3999,716.15,22942.6900,23041.8700,23208.5700,+0.1170,+0.7441,-0.3139,-0.4101
ali535_5,ali535,10,5,9956.7698,9956.7698,0.0000,0.0000,13.21,9933.4300,10003.2100,10356.4300,+0.2350,+0.2350,-0.4643,-3.8591
ali535_25,ali535,10,25,3702.3918,3720.7183,16.6723,0.4481,45.91,3688.5100,3702.1000,3826.4500,+0.3764,+0.8732,+0.0079,-2.7632
ali535_50,ali535,10,50,2475.1875,2497.4976,12.9713,0.5194,202.29,2458.7000,2503.3400,2539.3700,+0.6706,+1.5780,-1.1246,-1.6489
ali535_100,ali535,10,100,1455.0487,1462.1962,6.6288,0.4533,287.26,1433.6000,1462.5800,1502.5800,+1.4961,+1.9947,-0.5149,-2.6876
ali535_150,ali535,10,150,1040.9993,1046.1868,3.1378,0.2999,902.72,1025.3700,1036.8500,1078.3500,+1.5243,+2.0302,+0.4002,-2.9826
u724_10,u724,10,10,181778.6394,181931.5515,165.7824,0.0911,21.43,181782.9600,182036.2300,182971.5200,-0.0024,+0.0817,-0.1415,-0.5684
u724_30,u724,10,30,95249.1614,95615.8655,271.5983,0.2841,28.14,95034.0100,95201.5600,95821.2300,+0.2264,+0.6123,+0.0500,-0.2143
u724_75,u724,10,75,55014.7133,55211.3362,188.2663,0.3410,117.15,54735.0500,54912.7800,55152.1300,+0.5109,+0.8702,+0.1856,+0.1074
u724_125,u724,10,125,39078.0846,39311.0976,168.4898,0.4286,198.98,38976.7600,39127.4500,39614.6100,+0.2600,+0.8578,-0.1262,-0.7662
u724_200,u724,10,200,28147.2674,28381.7661,182.0710,0.6415,579.27,28079.9700,28719.1400,28897.7600,+0.2397,+1.0748,-1.9913,-1.7856
rl1304_10,rl1304,10,10,2146830.4805,2148729.2308,4002.9124,0.1863,177.87,2146484.1000,2158869.3100,2225719.8300,+0.0161,+0.1046,-0.5576,-3.4591
rl1304_50,rl1304,10,50,806145.6479,810918.5369,3427.4789,0.4227,143.03,802283.4100,803974.5900,809531.1500,+0.4814,+1.0763,+0.2700,+0.1714
rl1304_100,rl1304,10,100,502548.4930,504545.7185,1633.0295,0.3237,353.67,495925.9300,498516.6400,499324.2800,+1.3354,+1.7381,+0.8088,+1.0457
rl1304_200,rl1304,10,200,278897.4507,280844.4438,1452.0375,0.5170,768.60,276310.2500,277698.4100,278316.3700,+0.9363,+1.6410,+0.4318,+0.9083
rl1304_300,rl1304,10,300,192438.0914,193607.7847,1102.7573,0.5696,980.61,191224.8500,193214.2600,193713.0800,+0.6345,+1.2461,-0.4017,-0.0544
pr2392_20,pr2392,10,20,2230356.8815,2232794.5343,3000.0102,0.1344,397.81,2235376.7300,2244317.7200,2336529.1600,-0.2246,-0.1155,-0.6221,-4.4397
pr2392_75,pr2392,10,75,1097888.1231,1101961.4137,4864.0091,0.4414,404.82,1092294.0200,1099723.4200,1134301.5400,+0.5121,+0.8851,-0.1669,-2.8511
pr2392_150,pr2392,10,150,714303.6700,719420.3324,2306.7391,0.3206,880.04,711119.2900,713906.3800,714281.5100,+0.4478,+1.1673,+0.0557,+0.7194
pr2392_300,pr2392,10,300,460115.9765,462839.3066,1709.6297,0.3694,1722.04,458145.2900,459906.7100,463987.1300,+0.4301,+1.0246,+0.0455,-0.2474
pr2392_500,pr2392,10,500,318487.4436,319975.2125,1078.6731,0.3371,2523.52,316042.9700,317689.1300,319698.3400,+0.7735,+1.2442,+0.2513,+0.0866
fnl4461_20,fnl4461,10,20,1283901.7482,1285017.9672,928.8014,0.0723,775.73,1283536.7300,1300603.8700,1314504.7500,+0.0284,+0.1154,-1.2842,-2.2432
fnl4461_100,fnl4461,10,100,554594.2222,556303.6835,1490.2728,0.2679,1424.30,548909.0100,551321.5800,560981.3200,+1.0357,+1.3472,+0.5936,-0.8338
fnl4461_250,fnl4461,10,250,340207.1890,343460.2114,1791.2589,0.5215,1788.02,335888.8700,336789.9200,340197.1400,+1.2856,+2.2541,+1.0147,+0.9592
fnl4461_500,fnl4461,10,500,228721.7615,230132.7360,962.0504,0.4180,3337.61,224684.2400,228994.5300,232506.7100,+1.7970,+2.4250,-0.1191,-1.0210
fnl4461_1000,fnl4461,10,1000,148132.4862,150568.1177,1251.2075,0.8310,4233.87,145862.3800,146508.3700,150584.9200,+1.5563,+3.2261,+1.1085,-0.0112
p3038_600,p3038,10,600,124180.0510,125049.6303,819.2363,0.6551,2836.66,122711.1700,122918.7500,125098.6100,+1.1970,+1.9057,+1.0261,-0.0392
p3038_700,p3038,10,700,111100.8989,111459.0845,385.8829,0.3462,3527.88,109381.2200,110923.6400,111098.2100,+1.5722,+1.8997,+0.1598,+0.3248
p3038_800,p3038,10,800,101369.9548,101776.5284,334.7385,0.3289,3521.67,99054.9800,100428.3100,101104.5600,+2.3371,+2.7475,+0.9376,+0.6646
p3038_900,p3038,10,900,93470.3233,93948.7223,273.1027,0.2907,3794.35,90969.9600,92587.4200,93287.4200,+2.7486,+3.2744,+0.9536,+0.7089
p3038_1000,p3038,10,1000,86877.1842,87158.2567,224.1847,0.2572,4067.53,83693.3800,86153.8900,86934.9400,+3.8041,+4.1400,+0.8395,+0.2569
