instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
ali535_005.txt,ali535,,5,42,9956.7698,9956.7698,9956.7698,60,0,iter_limit,4,1,0.0000,0,0.0172,0.0070,6.0670,6.0912,OK
ali535_025.txt,ali535,,25,42,4065.7366,4038.1815,3702.5348,296,21,iter_limit,32,11,68.0858,7,0.0238,0.1022,85.4682,85.5942,OK
ali535_050.txt,ali535,,50,42,2769.9835,2759.8874,2489.7865,189,18,iter_limit,21,8,79.1106,7,0.0224,0.0942,235.5893,235.7060,OK
ali535_100.txt,ali535,,100,42,2086.8341,1701.0717,1470.6835,116,15,iter_limit,14,5,81.4635,5,0.0745,0.9660,165.3214,166.3620,OK
ali535_150.txt,ali535,,150,42,1770.0245,1189.7577,1047.0232,141,21,iter_limit,17,6,71.2708,4,0.1075,2.9581,576.9419,580.0077,OK
fnl4461_0020.txt,fnl4461,,20,42,1309152.7206,1309152.7206,1283901.7482,145,14,iter_limit,15,4,2385.3431,4,3.9681,0.7082,524.6558,529.3322,OK
fnl4461_0100.txt,fnl4461,,100,42,580268.8691,579982.2835,558880.4078,92,12,iter_limit,11,4,7292.4904,4,4.8006,2.4664,846.5730,853.8400,OK
fnl4461_0250.txt,fnl4461,,250,42,364422.6548,363370.4316,344725.8329,156,30,iter_limit,19,10,11450.3365,10,6.8327,12.3297,1522.0211,1541.1836,OK
fnl4461_0500.txt,fnl4461,,500,42,250997.4337,246911.7141,229598.6464,292,39,time_limit,36,13,11850.7515,12,11.1620,59.9158,3600.0676,3671.1455,OK
fnl4461_1000.txt,fnl4461,,1000,42,178010.0052,161149.1076,151455.0931,168,79,time_limit,21,17,4858.0031,17,26.5113,564.5512,3600.4585,4191.5211,OK
lin318_005.txt,lin318,,5,42,181836.2586,181836.2586,180281.2051,131,6,iter_limit,9,2,66.0273,2,0.0042,0.0023,17.9178,17.9244,OK
lin318_015.txt,lin318,,15,42,94785.1850,94785.1850,88901.5631,109,10,iter_limit,8,4,5440.5515,3,0.0064,0.0026,49.3127,49.3218,OK
lin318_040.txt,lin318,,40,42,63797.7786,56392.1653,48228.7017,185,15,iter_limit,21,8,2755.2587,3,0.0089,0.0820,252.6273,252.7183,OK
lin318_070.txt,lin318,,70,42,44714.6802,34721.1417,32684.3671,178,17,iter_limit,22,4,335.0218,1,0.0190,0.2024,265.2038,265.4253,OK
lin318_100.txt,lin318,,100,42,40358.4392,25619.7774,23182.2486,161,20,iter_limit,20,8,450.9511,4,0.0281,0.5381,192.2632,192.8294,OK
p3038_1000.dat,p3038,,1000,42,112977.8968,93253.8831,87079.3214,247,55,iter_limit,30,14,3606.0999,12,19.1865,418.5942,3613.6728,4051.4535,OK
p3038_600.dat,p3038,,600,42,147347.0188,135657.5623,125802.2520,171,41,iter_limit,21,11,5285.5758,10,5.7266,136.1244,1899.2521,2041.1032,OK
p3038_700.dat,p3038,,700,42,138747.2761,123540.8191,111858.3503,296,62,time_limit,37,20,6268.4417,19,8.2408,186.9875,3607.8306,3803.0589,OK
p3038_800.dat,p3038,,800,42,127007.9839,111157.0126,101946.1750,255,53,time_limit,31,16,5059.7919,16,11.5609,241.2401,3601.2355,3854.0365,OK
p3038_900.dat,p3038,,900,42,120258.7733,103015.9337,94029.9833,220,54,iter_limit,27,14,4862.7390,12,14.3604,353.0066,3293.3955,3660.7626,OK
pr2392_020.txt,pr2392,,20,42,2370754.0558,2361158.3650,2231770.8604,233,24,iter_limit,26,6,5322.5672,6,0.6243,1.2222,509.6767,511.5232,OK
pr2392_075.txt,pr2392,,75,42,1165837.1070,1152143.4365,1102412.4597,131,16,iter_limit,15,7,26332.1795,7,0.9471,2.0838,354.7973,357.8284,OK
pr2392_150.txt,pr2392,,150,42,803125.6840,782780.6218,719554.6835,324,28,iter_limit,40,15,40248.6677,14,1.1105,9.1040,1830.6074,1840.8220,OK
pr2392_300.txt,pr2392,,300,42,521371.1922,497769.5622,465546.0928,140,21,iter_limit,17,9,21553.7393,9,1.7667,21.7849,1034.9943,1058.5460,OK
pr2392_500.txt,pr2392,,500,42,389702.8872,350473.9710,320783.4126,387,50,time_limit,48,26,18610.0539,21,3.5847,85.3231,3606.0250,3694.9328,OK
rl1304_010.txt,rl1304,,10,42,2239920.7818,2199745.2450,2148926.8564,91,10,iter_limit,6,1,48.6934,1,0.1602,0.5139,68.4310,69.1051,OK
rl1304_050.txt,rl1304,,50,42,865269.6037,862067.4103,812863.3406,90,8,iter_limit,9,3,22204.2356,3,0.1498,0.0906,76.2622,76.5026,OK
rl1304_100.txt,rl1304,,100,42,565376.3836,546254.1537,504511.9940,100,16,iter_limit,12,5,23744.7045,5,0.2342,1.6989,279.6796,281.6128,OK
rl1304_200.txt,rl1304,,200,42,348260.2851,314586.6270,281847.9303,164,14,iter_limit,20,7,20842.6597,7,0.3931,7.9367,637.7075,646.0373,OK
rl1304_300.txt,rl1304,,300,42,266618.7878,214386.5280,193238.6131,196,22,iter_limit,24,9,9306.3782,9,0.7720,19.0584,1021.2141,1041.0447,OK
u724_010.txt,u724,,10,42,188471.7262,188471.7262,182304.4284,148,9,iter_limit,14,5,336.9135,4,0.0352,0.0121,30.6070,30.6543,OK
u724_030.txt,u724,,30,42,100833.4807,99886.7079,96200.5812,110,9,iter_limit,10,3,703.2702,3,0.0450,0.0680,23.4682,23.5812,OK
u724_075.txt,u724,,75,42,61382.5464,60469.0756,55063.4461,98,12,iter_limit,12,3,2227.9889,3,0.0476,0.2335,59.4441,59.7253,OK
u724_125.txt,u724,,125,42,45516.6764,42099.5261,39629.4334,124,10,iter_limit,15,5,1223.3675,5,0.0951,1.2761,226.1937,227.5650,OK
u724_200.txt,u724,,200,42,33624.3642,30705.9867,28633.0750,124,14,iter_limit,15,6,1502.1604,5,0.1596,3.6671,475.2854,479.1121,OK
ali535_005.txt,ali535,,5,43,11226.3088,11226.3088,9956.7698,64,1,iter_limit,4,0,0.0000,0,0.0128,0.0070,6.2861,6.3059,OK
ali535_025.txt,ali535,,25,43,4493.9521,4101.8414,3749.7597,108,7,iter_limit,11,4,130.3837,3,0.0167,0.0150,60.3072,60.3389,OK
ali535_050.txt,ali535,,50,43,2795.6024,2783.6549,2500.3388,134,16,iter_limit,15,6,121.2136,5,0.0318,0.0240,132.7121,132.7679,OK
ali535_100.txt,ali535,,100,43,2308.2381,1684.0313,1456.1105,172,20,iter_limit,21,6,87.1994,5,0.0416,0.7842,269.1725,269.9984,OK
ali535_150.txt,ali535,,150,43,1874.1677,1250.4084,1040.9993,248,30,iter_limit,31,14,61.7176,8,0.0550,2.1415,1056.7883,1058.9849,OK
fnl4461_0020.txt,fnl4461,,20,43,1304265.6481,1302786.7079,1284032.5399,107,13,iter_limit,10,2,664.7430,1,3.7737,0.6860,505.8154,510.2752,OK
fnl4461_0100.txt,fnl4461,,100,43,579072.3064,578807.8151,555027.4886,222,22,iter_limit,27,9,8966.5267,8,3.2633,2.3023,1541.9134,1547.4791,OK
fnl4461_0250.txt,fnl4461,,250,43,360023.3293,359800.8737,343660.6936,161,17,iter_limit,20,7,13908.3804,6,4.4935,3.3596,1487.1514,1495.0045,OK
fnl4461_0500.txt,fnl4461,,500,43,252183.4584,247618.0363,230556.5065,260,42,time_limit,32,15,10343.8942,12,10.6182,86.8467,3603.7092,3701.1742,OK
fnl4461_1000.txt,fnl4461,,1000,43,177312.5873,164099.4978,151687.2263,168,58,time_limit,21,12,6296.8825,12,26.8402,636.5771,3640.5852,4304.0025,OK
lin318_005.txt,lin318,,5,43,183093.9447,183093.9447,180281.2051,70,2,iter_limit,3,0,0.0000,0,0.0034,0.0024,6.5725,6.5783,OK
lin318_015.txt,lin318,,15,43,97073.0498,97073.0498,88901.5631,152,12,iter_limit,13,5,1232.1783,3,0.0053,0.0026,24.0030,24.0108,OK
lin318_040.txt,lin318,,40,43,50629.0441,50243.2815,48079.8968,84,8,iter_limit,10,3,669.9812,3,0.0056,0.0115,44.9534,44.9705,OK
lin318_070.txt,lin318,,70,43,38355.0435,33992.4772,32407.9672,128,13,iter_limit,16,2,318.9459,2,0.0113,0.1543,214.8429,215.0085,OK
lin318_100.txt,lin318,,100,43,31438.9493,25426.9949,22969.5441,355,33,iter_limit,44,4,0.0000,1,0.0233,0.2913,1350.9122,1351.2268,OK
p3038_1000.dat,p3038,,1000,43,111043.6494,93998.2545,87512.1271,223,50,time_limit,27,13,4173.6279,10,18.0528,432.9116,3603.9324,4054.8969,OK
p3038_600.dat,p3038,,600,43,142614.2363,134744.7922,124204.1676,148,28,iter_limit,18,10,8878.0233,10,6.0612,112.8817,1605.1841,1724.1271,OK
p3038_700.dat,p3038,,700,43,135286.7950,120875.7818,111128.0468,288,49,time_limit,36,22,6738.7753,19,9.0660,197.7821,3634.0448,3840.8930,OK
p3038_800.dat,p3038,,800,43,126005.9292,111975.8746,101369.9548,288,61,time_limit,36,13,6375.5493,13,11.3045,253.8152,3611.5075,3876.6273,OK
p3038_900.dat,p3038,,900,43,119823.0736,100664.3963,94124.6799,260,56,time_limit,32,18,4480.0862,16,17.3453,341.4323,3604.5607,3963.3383,OK
pr2392_020.txt,pr2392,,20,43,2242856.3954,2242402.7486,2237690.3971,99,6,iter_limit,9,2,2410.3867,2,0.6147,0.1394,217.4554,218.2096,OK
pr2392_075.txt,pr2392,,75,43,1158430.7500,1151782.2968,1114039.8692,92,13,iter_limit,11,4,13209.7131,4,0.8336,1.5553,174.5333,176.9223,OK
pr2392_150.txt,pr2392,,150,43,790972.8615,781524.4678,720285.7448,188,13,iter_limit,23,7,45414.7595,7,1.1975,6.4641,880.2680,887.9296,OK
pr2392_300.txt,pr2392,,300,43,526839.9056,510614.4848,461558.4936,228,33,iter_limit,28,14,35583.7026,14,1.8354,23.7449,1550.7189,1576.2992,OK
pr2392_500.txt,pr2392,,500,43,392847.4856,354295.9408,321841.4899,253,46,iter_limit,31,15,18655.9625,14,3.9510,87.1168,2262.3060,2353.3738,OK
rl1304_010.txt,rl1304,,10,43,2195227.2583,2195227.2583,2146830.4805,296,22,iter_limit,31,14,17804.9710,8,0.1617,0.0440,294.7882,294.9939,OK
rl1304_050.txt,rl1304,,50,43,910355.8469,895631.9016,806862.7086,117,12,iter_limit,11,4,13962.8911,4,0.2255,0.6551,99.4121,100.2927,OK
rl1304_100.txt,rl1304,,100,43,558284.1937,543746.0291,506999.7652,153,15,iter_limit,18,6,7970.9615,6,0.2991,1.2288,330.2342,331.7621,OK
rl1304_200.txt,rl1304,,200,43,340591.9591,321736.0775,278897.4507,140,20,iter_limit,17,10,27341.8894,10,0.4671,5.2162,662.2304,667.9137,OK
rl1304_300.txt,rl1304,,300,43,282776.1623,220862.5091,192438.0914,196,33,iter_limit,24,11,9810.9268,9,0.8854,18.6441,950.2121,969.7417,OK
u724_010.txt,u724,,10,43,184843.3499,184843.3499,181881.9976,150,8,iter_limit,13,5,802.8191,2,0.0311,0.0126,23.8073,23.8510,OK
u724_030.txt,u724,,30,43,101026.8926,101026.8926,95581.7975,148,13,iter_limit,15,4,561.8178,4,0.0461,0.0139,34.9132,34.9731,OK
u724_075.txt,u724,,75,43,62684.0712,60498.2673,55477.1048,188,11,iter_limit,23,4,3572.5855,4,0.0759,0.3366,78.7875,79.2001,OK
u724_125.txt,u724,,125,43,46097.2816,42879.2044,39174.2821,180,12,iter_limit,22,6,2844.9020,6,0.1066,1.1075,165.8323,167.0464,OK
u724_200.txt,u724,,200,43,36033.1554,30501.1055,28147.2674,220,32,iter_limit,27,13,1243.5136,12,0.1683,4.0076,1043.0655,1047.2415,OK
ali535_005.txt,ali535,,5,44,11473.2490,11204.6672,9956.7698,64,3,iter_limit,5,2,13.0450,0,0.0197,0.0476,20.9960,21.0633,OK
ali535_025.txt,ali535,,25,44,3871.0351,3867.7063,3710.6232,115,9,iter_limit,10,3,72.4656,3,0.0171,0.0315,26.0746,26.1232,OK
ali535_050.txt,ali535,,50,44,2916.0317,2754.4002,2488.5570,174,18,iter_limit,19,7,103.6638,4,0.0311,0.2283,139.9467,140.2061,OK
ali535_100.txt,ali535,,100,44,1876.9765,1725.9038,1467.0908,163,15,iter_limit,20,7,159.6677,5,0.0402,0.4797,383.0299,383.5499,OK
ali535_150.txt,ali535,,150,44,1999.4762,1215.5355,1044.7732,160,29,iter_limit,20,9,58.7661,8,0.0722,2.3863,768.9841,771.4426,OK
fnl4461_0020.txt,fnl4461,,20,44,1316919.5287,1315931.0923,1286042.0749,244,20,iter_limit,27,8,3451.3795,7,3.8554,0.6767,895.4769,900.0091,OK
fnl4461_0100.txt,fnl4461,,100,44,580090.5778,578742.6202,556118.0106,204,33,iter_limit,25,12,5757.4737,11,5.3915,2.9000,1550.1219,1558.4135,OK
fnl4461_0250.txt,fnl4461,,250,44,369048.7421,366127.7550,342093.9776,260,34,iter_limit,32,16,16844.4239,15,6.4608,28.8131,2161.9513,2197.2253,OK
fnl4461_0500.txt,fnl4461,,500,44,259343.9672,251502.1810,231185.8861,233,47,time_limit,29,17,11493.8603,14,12.8713,151.9926,3606.5953,3771.4593,OK
fnl4461_1000.txt,fnl4461,,1000,44,185303.4458,163914.4808,151923.7924,163,83,time_limit,20,14,3912.1327,13,26.8519,673.1051,3611.2209,4311.1780,OK
lin318_005.txt,lin318,,5,44,181992.4091,181992.4091,180281.2051,84,4,iter_limit,6,2,350.3376,1,0.0053,0.0024,14.5503,14.5581,OK
lin318_015.txt,lin318,,15,44,95792.4318,95792.4318,88901.5631,149,14,iter_limit,13,6,4744.4451,2,0.0077,0.0028,81.8292,81.8396,OK
lin318_040.txt,lin318,,40,44,55144.7849,52920.9648,48046.3861,116,13,iter_limit,13,5,1640.4177,5,0.0124,0.0413,106.8310,106.8848,OK
lin318_070.txt,lin318,,70,44,42030.4831,35056.4276,32469.7358,108,12,iter_limit,13,3,700.1074,2,0.0161,0.1737,29.7006,29.8904,OK
lin318_100.txt,lin318,,100,44,34719.7409,25665.6292,23075.0453,255,21,iter_limit,31,10,0.0000,3,0.0242,0.3212,937.9987,938.3442,OK
p3038_1000.dat,p3038,,1000,44,115756.0414,94731.8455,87082.8990,248,60,time_limit,31,14,4630.1580,14,19.0784,481.5602,3608.0584,4108.6972,OK
p3038_600.dat,p3038,,600,44,144832.9061,136563.9921,125978.2185,175,45,iter_limit,21,11,7534.6843,11,6.8547,123.8231,1986.8090,2117.4869,OK
p3038_700.dat,p3038,,700,44,135682.4565,122186.1723,111430.7302,307,73,time_limit,38,21,4865.2632,21,9.0887,179.8104,3601.2197,3790.1189,OK
p3038_800.dat,p3038,,800,44,130290.5188,112587.5142,101942.6741,247,44,iter_limit,30,13,5646.3862,11,10.6467,294.7988,3098.5189,3403.9645,OK
p3038_900.dat,p3038,,900,44,122139.8585,101821.6555,93888.4118,248,52,time_limit,31,16,5713.9183,16,16.7859,363.7100,3607.6610,3988.1569,OK
pr2392_020.txt,pr2392,,20,44,2291449.8428,2280249.3019,2231342.2871,244,18,iter_limit,26,6,2037.5964,6,0.6535,0.5678,644.0331,645.2544,OK
pr2392_075.txt,pr2392,,75,44,1181633.6571,1159001.7459,1099187.0771,148,13,iter_limit,18,7,28508.4241,7,0.8500,1.6334,372.9867,375.4702,OK
pr2392_150.txt,pr2392,,150,44,812416.4285,793822.2926,721576.3516,148,17,iter_limit,18,6,42703.7140,5,1.2109,8.0988,613.7057,623.0155,OK
pr2392_300.txt,pr2392,,300,44,524993.5830,503662.5107,464955.6999,188,29,iter_limit,23,11,25528.9267,10,1.8681,24.2133,1477.7320,1503.8135,OK
pr2392_500.txt,pr2392,,500,44,388377.5654,349635.5262,319887.9457,196,39,iter_limit,24,14,21576.2153,14,4.0249,70.1434,1743.5507,1817.7190,OK
rl1304_010.txt,rl1304,,10,44,2212733.9349,2212733.9349,2146867.4022,258,26,iter_limit,26,11,11771.5814,6,0.1694,0.0469,226.3666,226.5829,OK
rl1304_050.txt,rl1304,,50,44,895348.6272,875474.2928,815818.6247,130,8,iter_limit,13,3,21176.2140,3,0.2125,0.9808,156.3283,157.5216,OK
rl1304_100.txt,rl1304,,100,44,560621.7570,550001.5983,506425.5902,132,13,iter_limit,16,5,28609.9165,5,0.2797,1.0481,493.4476,494.7755,OK
rl1304_200.txt,rl1304,,200,44,338854.0758,313537.8813,280857.3080,140,21,iter_limit,17,7,21442.4644,7,0.4979,6.4169,640.0416,646.9565,OK
rl1304_300.txt,rl1304,,300,44,274447.1869,215902.8532,192468.2531,300,26,iter_limit,37,13,17782.4255,13,0.8442,14.1193,1719.9907,1734.9543,OK
u724_010.txt,u724,,10,44,183254.2662,183254.2662,181967.4608,102,9,iter_limit,6,1,53.3630,1,0.0288,0.0119,10.8705,10.9113,OK
u724_030.txt,u724,,30,44,100980.3504,100980.3504,95444.5332,141,7,iter_limit,15,5,2325.2281,5,0.0412,0.0128,25.2434,25.2973,OK
u724_075.txt,u724,,75,44,59359.4704,59066.5902,55287.9935,116,13,iter_limit,14,6,1443.6565,4,0.0443,0.1521,46.2151,46.4115,OK
u724_125.txt,u724,,125,44,45378.8036,42106.5537,39146.4555,124,14,iter_limit,15,5,1793.3071,5,0.0939,0.8775,166.6831,167.6544,OK
u724_200.txt,u724,,200,44,34106.3887,30750.1350,28439.1255,131,14,iter_limit,16,5,1240.6714,4,0.1525,3.5519,457.9604,461.6647,OK
ali535_005.txt,ali535,,5,45,10048.6051,10005.3729,9956.7698,73,3,iter_limit,5,1,0.9699,1,0.0148,0.0159,7.7467,7.7774,OK
ali535_025.txt,ali535,,25,45,3948.4484,3948.2995,3702.3918,261,17,iter_limit,27,5,70.5512,5,0.0292,0.0159,49.7188,49.7639,OK
ali535_050.txt,ali535,,50,45,2826.7200,2767.1936,2510.7792,229,21,iter_limit,26,11,85.3196,6,0.0246,0.0646,746.2722,746.3614,OK
ali535_100.txt,ali535,,100,45,1895.2755,1666.9199,1459.8808,167,20,iter_limit,20,5,84.7418,5,0.0403,0.5380,172.9397,173.5181,OK
ali535_150.txt,ali535,,150,45,1894.6888,1227.5502,1050.1790,446,30,iter_limit,55,6,33.9970,6,0.0674,2.8253,1548.3355,1551.2283,OK
fnl4461_0020.txt,fnl4461,,20,45,1315056.0799,1314816.7869,1286128.2435,140,15,iter_limit,14,3,4044.3966,3,3.7149,0.6392,880.3890,884.7431,OK
fnl4461_0100.txt,fnl4461,,100,45,587750.6687,584154.3555,556581.8787,206,31,iter_limit,25,11,5260.5388,11,5.2202,11.7921,1583.2655,1600.2778,OK
fnl4461_0250.txt,fnl4461,,250,45,363903.2608,362092.3617,341419.5268,221,37,iter_limit,27,17,11862.9052,15,6.3639,14.3729,2064.8500,2085.5869,OK
fnl4461_0500.txt,fnl4461,,500,45,251175.1512,248381.3372,230488.6604,148,34,iter_limit,18,10,11492.2993,10,11.0610,59.5531,2095.6510,2166.2652,OK
fnl4461_1000.txt,fnl4461,,1000,45,179308.4837,164330.7015,151144.4834,163,72,time_limit,20,17,5534.3720,14,25.2823,539.3235,3605.2549,4169.8608,OK
